,année,temps_minutes
0,1894,45.0
1,1897,86.25
2,1902,63.375
3,1903,63.375
4,1905,64.52083333333333
5,1906,64.47916666666667
6,1907,64.29166666666667
7,1908,63.375
8,1909,62.42934782608695
9,1910,70.20603877165894
10,1911,64.6726368159204
11,1912,66.18546800879324
12,1913,73.82664455500276
13,1914,75.73504273504273
14,1915,66.76249703861644
15,1916,64.75305458004097
16,1917,67.07783496311546
17,1918,67.7162591298825
18,1919,73.93533907748325
19,1920,77.27242756470274
20,1921,77.65705807851614
21,1922,78.87814138847176
22,1923,82.00249783741499
23,1924,78.37942385071514
24,1925,78.46773016927075
25,1926,76.69603357341013
26,1927,75.66555347447978
27,1928,82.41658550751103
28,1929,79.4343473455486
29,1930,77.943875838382
30,1931,79.05221801450541
31,1932,76.95463849628953
32,1933,77.20796022565646
33,1934,78.6052941577664
34,1935,77.54029103324336
35,1936,78.43041762141777
36,1937,79.06188961149769
37,1938,79.96650655852675
38,1939,81.50586055919639
39,1940,82.13473513756172
40,1941,83.92980722575992
41,1942,83.86981872207613
42,1943,83.5549024609535
43,1944,83.06311125184378
44,1945,83.91337248412846
45,1946,84.79562821745027
46,1947,86.59525911036245
47,1948,85.95542462763284
48,1949,88.36654871172169
49,1950,89.25381166364114
50,1951,89.46142962215713
51,1952,90.75518405955502
52,1953,90.84021778517673
53,1954,93.12733065206703
54,1955,94.00170566310601
55,1956,94.03309943891497
56,1957,92.5731183747345
57,1958,93.35856932676278
58,1959,93.78592469013131
59,1960,94.67497419824292
60,1961,94.37376481169909
61,1962,94.8026167574793
62,1963,94.63344916856785
63,1964,95.6870474757764
64,1965,95.70289225022017
65,1966,94.42880386682292
66,1967,97.1160645499947
67,1968,96.00156661228269
68,1969,95.00432286707367
69,1970,95.41165488965525
70,1971,92.99831012387023
71,1972,93.34672424162007
72,1973,93.55930203768854
73,1974,94.51683315680009
74,1975,94.68185196100166
75,1976,95.00571978888755
76,1977,96.14886217837362
77,1978,95.01858306623342
78,1979,94.91176178674894
79,1980,97.14744064247532
80,1981,96.07356532362195
81,1982,97.57557106304819
82,1983,96.4038463608835
83,1984,95.81613839256701
84,1985,97.62525655401025
85,1986,96.12059059007481
86,1987,99.26177806660137
87,1988,97.21575669040519
88,1989,98.26899772793128
89,1990,98.20982981928731
90,1991,98.43229827265807
91,1992,99.03455528853273
92,1993,99.60861688284005
93,1994,98.5215047378712
94,1995,98.11660961205816
95,1996,98.86646180092093
96,1997,98.00480562478509
97,1998,98.04525466710103
98,1999,98.43721096189289
99,2000,97.3359017409492
100,2001,97.08215388434249
101,2002,96.98942889040273
102,2003,96.51526730636562
103,2004,98.67602112768215
104,2005,95.27091870125128
105,2006,95.70549195816537
106,2007,95.39291508390025
107,2008,94.9092275365886
108,2009,93.45516870605934
109,2010,93.57355562412998
110,2011,92.47415375007043
111,2012,92.55124398338818
112,2013,93.02479790917667
113,2014,93.89247000961593
114,2015,94.12727501728375
115,2016,93.99929580574468
116,2017,94.33699364855913
117,2018,94.78739170447052
118,2019,103.03088594551606
119,2020,98.1885694515815
120,2021,94.84750914666715
121,2022,97.64601262110618
122,2023,98.602974240348
123,2024,101.36008311555362
